job_title,company,first_seen,search_country,search_position,job_level,job_type,city,state,country,city_state,latitude,longitude,job_skills
Lead Esthetician,Atlantis Casino Resort Spa,2024-01-13,United States,Laser Technician,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Spa treatments, Facials, Waxing, Body rituals, Body scrubs, Body masks, Spa protocol, SpaSoft, State national and company policies, Sanitation, Boutique products, Treatment rooms, Retail, Programs, Promotions, Discounts, Inventory, Scheduling, Training, Hiring, Current trends, Clean brands, Quality work environment, Staff meetings, Communication, Nevada Esthetics License, Esthetics Insurance, Esthetics experience, Makeup Artistry, Chemical Peels, AHA Exfoliating, Grooming standards, Team environment, Recognition, Appreciation, Comprehensive benefits, 401K retirement savings plan, Education Tuition Reimbursement Program, Scholarship Opportunity, Paid Vacation, Holiday Pay, Recreation /Fitness Discounts, Weekly Resort Prizes, Career Development and Training Workshops, FREE daily meal, Internal Advancement"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Tax preparation, Customer service, Sales, Marketing, Communication, Teamwork, Collaboration, High school diploma or equivalent, Experience in retail or customer service, Experience in fastpaced environment, IRS and state requirements, H&R Block Income Tax Course"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Communication, Tax Expertise, Customer Service, Sales, Retail, Marketing, IRS Requirements, Tax Preparation, High school diploma, Teamwork, Collaboration"
Voucher Examiner,HHS Careers,2024-01-12,United States,Claim Examiner,Mid senior,Onsite,Lawton,OK,United States,"Lawton, OK",34.617172,-98.4214,"Patient account system, Claims management system, Microsoft Office Suite (Excel Word PowerPoint Email), Delinquent patient records, Outstanding balances, Reconciliation discrepancies, Monthly quarterly and annual reports, Attention to detail, Customer service, Problem solving, Technology application"
Commercial Litigation Associate Attorney,BCG Attorney Search,2024-01-13,United States,Lawyer,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Litigation, Commercial Law, Attorney, Law Firm, Law School, State Bar of Nevada, Communication Skills, Analytical Skills, Technical Skills, Writing Skills, Meritas"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Coweta,OK,United States,"Coweta, OK",35.971233,-95.66013,"Client service, Retail, Sales, Marketing, Communication, Teamwork, Tax law, Tax preparation, IRS regulations, H&R Block Income Tax Course, High school diploma or equivalent, Peak tax season availability (20 hours/week), Medical coverage, 401k Retirement Savings Plan, Employee Stock Purchase Plan, Tax preparation benefit, Flexible/remote work opportunities"
Part Time Warehouse Driver - CALVIN KLEIN,Calvin Klein,2024-01-12,United States,Chauffeur,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Retail stock experience, Bachelor’s/Associate degree, Valid driver’s license, Box truck operation, Air brakes operation, Flexible schedule, Communication skills, Time management skills, Physical endurance, Lifting ability, Teamwork, Adaptability, Problemsolving skills, Leadership skills, Customer service skills, Attention to detail"
"Senior Accountant, General Ledger",CareATC,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Accounting, Excel, Pivot Tables, Macros, Complex Formulas, Analytics, Financial Reports, Sage Intacct, Bank Reconciliation, Balance Sheet Reconciliation, Troubleshooting, Journal Entries, Financial Schedules, Fixed Assets, Inventory, Prepaid Assets, Accrued Liabilities, Client Billing, Annual Financial Audit, Annual Income Tax Returns, Accounting Principles, Strong intermediate/advanced level Excel skills, Bachelor's degree in Accounting, CPA or PA, Healthcare accounting experience, Minimum Qualifications & Experience"
RBG3 Learning Strategist - Garehime ES,Clark County School District,2024-01-14,United States,Manager Pool,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Teaching license, Literacy specialist"
EQUIPMENT OPERATION INSTRUCTOR,State of Nevada Division of Human Resource Management,2024-01-12,United States,Cargo Checker,Associate,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"High school diploma/equivalent education, 3 years operating highway construction/maintenance equipment, 3 years as Highway Maintenance Worker III in Nevada State service, Criminal history check, Fingerprinting, Preemployment screening for controlled substances, Training employees, Train new hires, CDL thirdparty certifier, Equipment training, Traffic control instruction, Yard safety inspections, Employee crash investigations, Personal injury investigations, Maintain training files, Driving records, Physical examinations, Policy implementation, Changing work conditions, Adaptive problemsolving"
Clinical Trainer - Licensed Practical Nurse or Medical Assistant,Xpress Wellness Urgent Care,2024-01-12,United States,Cardiac Monitor Technician,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Clinical training, Patient care, Customer service, Communication, Critical thinking, Decision making, Safety practices, Occupational medicine, Workers compensation, Behavioral health, Virtual primary care, Facilitybased primary care, CLIAwaived lab tests, Medical charting, Patient call backs, Medical supplies, Medical equipment, BLS certification, LPN/Medical Assistant experience, PC skills, Medical terminology, Work shifts, Interpersonal communication, Worklife balance, PTO, Health insurance, Dental insurance, Vision insurance, Retirement package, Disability insurance, Life insurance"
LEAD SALES ASSOCIATE-FT,Dollar General,2024-01-12,United States,Check Cashier,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer service, Cashier operation, Stock management, Merchandise display, Cleaning, Planogram implementation, Store opening and closing, Mathematical calculations, Cash handling, Safety procedures, Communication skills, Oral communication skills, Interpersonal skills, High school diploma, Supervisory experience, Stocking, Lifting, Driving, Occasional exposure to outside weather conditions"
Sr. Structural Engineer,Amtec Inc.,2024-01-12,United States,Civil Engineer,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Communication, Project management, Budget management, Risk assessment, Technical quality, Code compliance, RFI responses, NCR Responses, Project closeout reporting, Training, Performance management, Client relations, Invoice review, Timesheet review, Analytical skills, Data collection, Problem solving, Teamwork, Customer service, Planning, Organization, Time management"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Sapulpa,OK,United States,"Sapulpa, OK",36.004206,-96.123275,"Tax preparation, Sales, Marketing, Customer service, Communication, Teamwork, High school diploma, Continuing education, IRS requirements, Tax expertise, Retail experience, Fastpaced environment, Flexible work"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Communication skills, Tax preparation skills, Sales experience, Marketing experience, Customer service skills, H&R Block Income Tax Course, Continuing education, IRS requirements, State requirements, High school diploma or equivalent, Fastpaced work environment, Teamwork, Ability to work minimum of 20 hours during peak season, Medical coverage, 401k Retirement Savings Plan, Employee Stock Purchase Plan, Tax prep benefit, Flexible work options, Collaborative teams"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Customer service, Sales, Marketing, Teamwork, Communication, Tax preparation, IRS requirements, H&R Block Income Tax Course, High school diploma, Fastpaced environment, Microsoft Office, Availability to work 20 hours during peak season, Medical coverage, 401k Retirement Savings Plan, Employee Stock Purchase Plan, Tax prep benefit, Flexible/remote opportunities"
"Operating Partner - Whataburger - WB Yukon (Yukon, OK)",Whataburger,2024-01-13,United States,Handler,Mid senior,Onsite,Yukon,OK,United States,"Yukon, OK",35.518409,-97.766172,"Restaurant Operations, Leadership, Mentoring, Team Management, Training, Coaching, Talent Management, Recruitment, Conflict Resolution, Performance Evaluation, Financial Planning, Budgeting, Food Safety, Customer Service, Microsoft Office Suite, Food Handler Certification, Driver's License, Physical Ability, Reading"
Business Process Audit Associate,CBIZ,2024-01-12,United States,Auditor,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Audit, SarbanesOxley compliance, Cybersecurity, Supply chain management, ESG, Risk consulting, Process narratives, Testing procedures, Audit work papers, Management comments, Findings, Observations, Internal control approaches, Project status, Project issues, Resource availability, Time budgets, Client meetings, Problemsolving, Critical thinking, Data analytics, Accounting, Finance, Team environment, Communication, Technology, Travel"
Quality Control Auditor (Full Time)- Harvard or Richardson,Prosperity Bank,2024-01-12,United States,Auditor,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Mortgage Compliance, Mortgage loan Quality Control File auditing, Communication, Public relations, Detailoriented, Organization, Analytical, Written communication, Verbal communication, Working with limited supervision"
Quality Assurance Inspector/Operator,ASWF - American Standard Window Film,2024-01-12,United States,Auxiliary-Equipment Operator,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Quality Assurance (QA), Manufacturing, Rework, Subtractive slitting, Nonconforming material, Inspection, Shadow coating, Reporting, Documentation, Quarantine, Packaging"
Medical Assistant,eTeam,2024-01-12,United States,Cardiac Monitor Technician,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Patient care, Electronic medical records, Assist physician, Patient placement, Test performance, Information gathering, Nursing, Chaperoning, Supply maintenance, Scheduling, Medical terminology, Communication, Teamwork, Detail oriented, Composure, Empathy"
Field Engineer - Heavy Civil Construction,Kiewit,2024-01-12,United States,Civil Engineering Technician,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Project engineering, Project controls, Communication, Attention to detail, Teamwork, Motivation, Eagerness to learn, Heavy civil construction, Transportation construction, Water projects, Mass grading, Drainage, PCCP paving, Utilities, Field engineering, Drawings interpretation, Specifications interpretation, Quantity calculations, Work plans preparation, Work packages preparation, Field surveying, Work layout support, Elevation control, Asbuilt data compilation, Labor timesheets compilation, Job Hazard Analysis preparation, Safety reviews participation, Toolbox meetings participation, Mass safety meetings participation, Safety training participation, Material deliveries scheduling, Work groups planning, Work groups coordination, Field operations supervision, Bachelor's degree in constructionrelated engineering, 2+ years of construction field experience, CPM scheduling knowledge, Unit manhour performance knowledge, Material control knowledge, Estimating knowledge, Subcontracts knowledge, Leadership experience, Management experience, Communication skills, Planning skills, Organization skills, Regular attendance, Ability to meet deadlines, Effective communication skills, Professional communication skills, Safe work practices, Ability to follow instructions, Ability to work during normal operating hours, Ability to work overtime and weekends, Ability to work at various locations"
Lead Electrical System Design & Architecture Engineer - Clean Energy,Generac Grid Services,2024-01-12,United States,Architect,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Electrical Engineering, Computer Engineering, Firmware Engineering, PCB Engineering, UL/IEEE/NFPA/ANSI Standards, DFMEA, DVP&R, DOE, Visio, draw.io, Source Code Control, Regressions Systems, OvertheAir Release Management, Threading and Buffers, GPIO/Pin Definition, State Diagrams, Boundary/Force Diagrams, Stress/Strain, 1D Thermodynamics, Fabrication and Assembly Technologies, Strain/Stress Analysis, Thermal Management, Connector/Cable Engineering"
Experienced RN - Registered Nurse - Neonatal ICU (NICU) - Nights,OU Health,2024-01-13,United States,Physician Occupational,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Neonatal Nursing, ECMO, CRRT, Cardiac, ELBW, Therapeutic Hypothermia, Charge Nurse, Resource Nurse, PICC Nurse, Supervisor, Manager, Professional Nursing Theory, Nursing Practices, Nursing Techniques, Nursing Procedures, Neonatal Resuscitation Program (NRP), Basic Life Support, Cultural Sensitivity, Language Needs, Computer Skills, Good Working Relationships, Verbal Communication, Written Communication"
Assistant General Manager,The Hill,2024-01-13,United States,Clerk General,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Hiring, Training, Retaining, Developing Team, Financial Analysis, Action Plans, Budget Management, Sales Management, Guest Experience, Communication Skills, Relationship Building, Adaptability, Flexibility, Enthusiasm, SelfMotivation, Teaching Skills, Coaching Skills, Decision Making, Problem Solving, Strategic Thinking, Data Analysis, Inspiration, Teamwork, Leadership, Professionalism, Attendance, Physical Stamina, Multitasking, Customer Service, Time Management, Conflict Resolution, Diversity, Inclusion"
Lead Vehicle Systems Technician,Canoo,2024-01-12,United States,Assembler,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Electric vehicles, Automotive engineering, Vehicle manufacturing, Mechanical repair, Electronic systems, CAN networks, Data collection and analysis, Automotive software architecture, UDS, LIN, Automotive ethernet, Issue management software, Requirement database tools, Binary and related number systems"
Full-Time Assistant Manager,Cinemark,2024-01-13,United States,Clerk General,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Cinemark Assistant Manager, Management Foundations, Annual Certifications, MAP Core, Food handling training, Safe Alcohol Service training, Energetic and friendly attitude, Excellent Guest service, Accurate cash handling, Basic math skills, Interpersonal skills, Communication skills, Ability to work in a team environment, Ability to take and follow direction, Sense of urgency, Time management, Organizational skills, Attention to detail, Ability to train and lead others, Conflict resolution, Physical strength, Frequent bending, Kneeling, Lifting, Standing, Walking, Reaching, Carrying, Pushing, Pulling, Noise tolerance, Ability to work in a standing position for extended periods of time"
Assistant General Manager,Bullys Sports Bar & Grill,2024-01-13,United States,Clerk General,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Restaurant Management, Employee Management, Food Quality Control, Store Cleanliness, P&L Management, Cash Handling, Labor Cost Control, Employee Scheduling, Employee Discipline, Federal State and Local Labor Laws, Food Handling Safety Certification, Alcohol Awareness Certification, Background Check, Performance Feedback, Regular Attendance, Punctuality, New Employee Hiring and Training, Orientation Paperwork"
Assistant Mananger-Hourly,Griffin Fast Lube,2024-01-13,United States,Clerk General,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Leadership skills, Problemsolving abilities, Employee management, Automotive expertise"
Full-Time Assistant Manager,Cinemark,2024-01-13,United States,Clerk General,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Management, Communication, Customer Service, Cleaning, Safety, Food Handling, Cash Handling, Conflict Resolution, Leadership, Training, Team Work, Time Management, Attention to Detail, English Comprehension, Ability to work independently, Ability to work in a team environment, Ability to take and follow direction, Ability to carry push and pull objects, Ability to work in a standing position for extended periods, Ability to work in a noisy environment"
"SAFETY SPECIALIST, CONSULTATION",State of Nevada Division of Human Resource Management,2024-01-14,United States,Driver,Associate,Onsite,Genoa,NV,United States,"Genoa, NV",39.025623,-119.830929,"Occupational Safety and Health, Safety Engineering, Hazard Identification, Hazard Evaluation, Hazard Control Design, Hazard Controls Verification, Safety/Health Program Design, Safety/Health Program Evaluation, Environmental Sciences, Biological Sciences, Physical Sciences, Public Health, Engineering, Certified Safety Professional (CSP), Associate in Risk Management (ARM), Certified Safety and Health Manager (CSHM), Safety Representative, Consultation, Enforcement, Valid Driver's License"
Driver for Medical Appointments - Perfect gig for Caregivers! Oklahoma City,SendaRide,2024-01-12,United States,Auxiliary-Equipment Operator,Associate,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Driving, NEMT (NonEmergency Medical Transport), Background check, Clean driving history, 21+ years, Daytime availability (preferred), Fourdoor car minivan or SUV (10 years old or newer), Excellent English communication skills, Serviceminded individual, Punctuality, Time management skills, HIPAA Guidelines compliance"
Education Administrative Assistant,Ladgov Corporation,2024-01-12,United States,Archivist,Mid senior,Onsite,Nellis AFB,NV,United States,"Nellis AFB, NV",36.246585,-115.0571,"Microsoft Office products, Word, Excel, PowerPoint, Outlook, English language"
CUSTOMER SERVICE REPRESENTATIVE,Family Dollar,2024-01-12,United States,Car Inspector,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer service, Retail operations, Stocking shelves, Merchandise handling, POS system, Sales, High school diploma or equivalent, Retail experience, Lifting ability, Flexibility, Customer focus, Strong organizational skills, Communication skills, Problem solving, Relationship management"
Long Term (Travel) Intensive Care Unit - MICU RN - 24147517EXPPLAT /,TravelNurseSource,2024-01-13,United States,Nurse Infection Control,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"ICU Nursing, Critical Care Nursing, RN License, Medical Benefits, Dental Insurance, Vision Insurance, 401(k) Savings, Licensure Reimbursement, Credential Reimbursement, Professional Liability Coverage, Weekly Pay, Per Diems, Housing Accommodations, Collaboration, Patient Care, HighQuality Outcomes"
IT Security Manager,JoCo,2024-01-13,United States,Manager Personnel,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"IT Security Management, Software Applications Management, Data Networks Management, Asset Management, Procurement Procedures, Project Management, Resource Allocation, Performance Tracking, Team Training, Team Oversight, Staffing Decisions, Regulatory Compliance, Data Integrity, Organizational Requirements, Collaboration, Efficiency Optimization, Issue Resolution, Budget Monitoring, Policy Adherence, Expenditure Authorization, Technology Documentation, Service Reporting, Bachelor's Degree in IT Engineering Business or STEM, IT Experience: 7+ Years, Management & Development Experience: 3+ Years, Oklahoma Class ""D"" Driver's License, ITIL Certification (Preferred), Computer Hardware Knowledge, Server/Network Hardware Knowledge, Operations Management Methods Knowledge, Enterprise Infrastructure Systems Understanding, Systems Management Application Capabilities Understanding, Team Supervision, Team Mentoring, Team Training, Analytical Skills, Problem Resolution, Solution Development, Interpersonal Skills, Communication Skills, Project Prioritization, Project Completion, Project Efficiency, Technological Change Adaptation, Business Advancement"
Driver for Medical Appointments - Perfect gig for Caregivers! Oklahoma City/El Reno,SendaRide,2024-01-12,United States,Auxiliary-Equipment Operator,Associate,Onsite,El Reno,OK,United States,"El Reno, OK",35.541833,-97.961268,"NEMT (Nonemergency medical transport), Clean driving record, Excellent communication skills, Punctuality, English fluency, Time management skills, HIPAA compliance, Transportation services, Courier services, Daytime availability, Pass background check, Serviceminded attitude, Escort passengers"
"Associate Teacher- $2,000 Sign-on Bonus",Tulsa Educare,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Educare Learning Network (ELN), Head Start Performance Standards, NAEYC accreditation standards, DHS licensing requirements, Basic Environmental Checklist, Ages and Stages Questionnaires, Attendance, Meal Count, Family Contacts, Accidental Injury Reports, ASQ and Internal referrals, Emergency contacts, Infant/toddler daily sheets, File Sign in/out sheets, Teaching Strategies, Conscious Discipline theory, Collaborative reflection, Interdisciplinary approach, Family Child Review meetings"
Construction Litigation Associate Attorney,W3Global,2024-01-12,United States,Building Consultant,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Construction Litigation, Construction transactions, Disputes, Commercial buildings, Mixeduse, Retail, Industrial, Government projects, Law school, State Bar of Nevada, Excellent communication skills, Analytical skills, Technical skills, Writing skills"
Electrical Assistant Project Manger - Commercial,CyberCoders,2024-01-13,United States,Commercial Engineer,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"* Project Management, * Electrical Engineering, * Commercial Construction, * AutoCAD or AutoDesk, * Procore, * Bluebeam, * Microsoft Experience"
Travel Vascular Interventional Technologist,Nationwide Therapy Group,2024-01-13,United States,Guide Travel,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Vascular Interventional Technology, Allied Health, Nursing, Rehabilitation Therapy, Healthcare Staffing"
Sr. Electrical Engineer,Jobot,2024-01-13,United States,Page,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Electrical Engineering, Industrial, Mechanical, Manufacturing, Consulting, Regulatory, Safety, AutoCAD, MATLAB, Design, Implementation, Bachelor's Degree, 3+ Years Experience"
Construction Business Manager,"Triax Engineering, LLC",2024-01-12,United States,Building Consultant,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Construction work, Fastpaced environment, Teamoriented environment, Communication skills, Teamwork skills, Compliance management, Subcontract documentation management, Insurance requirements management, Bonds management, Vendor management, Supply management, Customer billing, Collections, Payroll processing, Billing information processing, Production report reviewing and updating, New employee orientation, Paperwork preparation, Documentation processing, Data entry, Financial reporting, General reporting"
Nursing Instructor,Carrington College,2024-01-14,United States,Playwright,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Nursing, Teaching, MSN, BSN, BLS for Healthcare Providers, NV License, Clinical Site, Classroom, Curriculum, Course Syllabus, Faculty Member"
RN Director of Mental Health Program,Psychiatric Medical Care,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Sapulpa,OK,United States,"Sapulpa, OK",36.004206,-96.123275,"RN Director of Mental Health Program, Registered Nurse or LVN license, Psychiatric Nursing experience, Associates or above degree, Passion for working with Older Adults, Care, Community, Compliance, Implement therapeutic services, Patient care, Intake assessments, Fall assessments, Treatment plan development"
Lead Teacher (3 yr old Classroom),CAP Tulsa,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Early Childhood Education, Infant and Toddler Development, Curriculum Software, CAPselected Classroom Support Model, NAEYC Accreditation Standards, DHS Licensing Requirements, CDA Certification, Interpersonal Relationship Skills, Oral and Written Communication Skills, Auditing and Compliance, Initiative and Multitasking Skills, Pressure Management Skills, Confidentiality, Organizational and Efficiency Skills, Attention to Detail, Physical Endurance, Lifting and Carrying Ability, Regular and Reliable Attendance"
